id,n,v,cpc,cmp,lc,hc,vt,mv,i,f,g,a,o,c,h,src
1637,남자 버티컬 마우스,5,,,0,0,17,0|20|20|0|0|0|14|18|0|0|0|17,8,9280,0,0,1578|1239|1316|1384,L,false,A
1638,로지텍 버티컬 lift 마우스,15,,,0,0,0,0|18|20|0|20|20|0|11|0|17|28|0,8,9280,0,0,1316,L,false,A
1639,logitech lift mac,3,,,0,0,-1,10|0|10|10|10|10|10|10|10|0|10|0,8,9280,0,0,1507,L,false,A
1640,버티컬 마우스 통증,6,,,0,0,-1,18|0|17|18|0|0|0|0|17|0|20|0,1,66,0,0,1270|1316,L,false,A
1641,지클릭커 op100 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,0,0,0,1390,L,false,A
1642,로지텍 게이밍 마우스 무선,100,,,0,0,0.25,70|60|80|80|80|80|100|110|80|100|100|100,8,64,1,1,1507,L,false,A
1643,사무용 버티컬 마우스 디시,26,,21,0,0,20,0|0|0|0|0|0|0|0|0|30|30|20,1,64,0,0,1390,L,false,A
1644,버티컬 마우스 내돈내산,56,,,0,0,-0.33,70|70|80|110|70|60|40|50|60|60|70|40,1,8257,0,0,1601|1239|1270|1316|1079,L,false,A
1645,가벼운 버티컬,0,,,0,0,0,0|0|0|12|0|0|0|0|0|0|0|0,1,9280,0,0,1507|1578|1316|1384|1635,L,false,A
1646,경량 버티컬 마우스,19,,,0,0,0.11,13|18|0|0|18|18|0|0|17|20|18|19,8,8257,0,0,1578|1239|1316|1384|1635,L,false,A
1647,로지텍 리프트 버티컬 후기,10,,5,0,0,0,10|10|10|10|10|10|10|10|10|10|10|10,1,8256,0,0,1316,L,false,A
1648,로지텍 버티컬 마우스 작은 손,19,,,0,0,0.05,14|15|20|0|19|18|0|19|19|19|20|20,4,1089,0,0,1390|1270|1316,L,false,A
1649,op70 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,65,0,0,1390|1316,L,false,A
1650,mx vertical 버튼,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,1088,0,0,1507|1316,L,false,A
1651,작은손 버티컬 마우스 추천,25,,,0,0,0.66,0|0|13|0|18|19|0|0|18|16|30|30,9,10305,0,0,1507,L,false,A
1652,g501 마우스,13,,42,0,0,0,37|10|10|10|25|30|10|10|10|10|20|10,9,3136,0,0,1507,L,false,A
1653,여성용 마우스 추천,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,8257,0,0,1507|1384|1635,L,false,A
1654,손목보호 무선 마우스 추천,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,9281,0,0,1239|1316|1384,L,false,A
1655,버티컬 마우스 rpg,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,64,0,0,1601|1133|1578|1239|1270|1384,L,false,A
1656,로지텍 유무선 마우스,76,0.28,98,94.2k,724.1k,-0.3,70|60|60|70|50|40|60|50|100|90|70|70,8,64,1,0,1507,L,false,A
1657,버티컬 마우스 순위,50,0.24,71,0,0,0.2,80|60|30|50|50|60|50|40|50|30|60|60,8,8257,0,0,1507|1578|1239|1384,L,false,A
1658,로지텍 버티컬 마우스 게임,5,,,0,0,0,0|0|0|0|0|0|0|0|0|0|17|0,8,9280,0,0,1133|1239|1270|1316,L,false,A
1659,지 클릭 커 휠마스터 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,1239|1384,L,false,A
1660,로지텍 리프트 마스터,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,5,8256,0,0,1316,L,false,A
1661,버티컬 마우스 장점,146,,18,0,0,0.08,90|90|130|120|110|90|80|100|120|80|230|130,4,8257,0,0,1507|1601|1578|1390|1239|1270|1316|1384,L,false,A
1662,gm mcu20 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,64,0,0,1133|1390|1239|1384,L,false,A
1663,무선 마우스 손목,30,,,0,0,0,40|20|40|50|30|50|30|30|20|30|40|20,8,9283,0,0,1507|1270|1316,L,false,A
1664,무소음 버티컬,17,,,0,0,14,0|0|20|0|0|10|20|41|0|20|19|14,8,9280,0,0,1507|1384,L,false,A
1665,여성용 버티컬 마우스,150,0.06,100,0,0,-0.52,90|80|110|240|180|480|490|220|230|140|200|110,8,8256,2,0,1507|1384|1635,L,false,A
1666,에볼루언트 마우스 후기,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,65,0,0,1507|1316,L,false,A
1667,버티컬 게이밍 마우스,330,0.18,84,146.4k,491.0k,0.1,290|220|350|280|260|300|250|250|290|270|400|320,8,8256,1,24,1507|1239|1316|1384,L,false,A
1668,로지텍 리프트 디시,113,0.15,33,0,0,-0.18,70|90|70|110|90|110|110|110|110|110|140|90,4,64,0,0,1390|1384,L,false,A
1669,캐드 마우스 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,0,0,0,1390,L,false,A
1670,초경량 버티컬 마우스,0,,,0,0,0,0|12|0|14|0|0|0|0|0|0|0|0,8,8257,0,0,1390|1270|1316|1384,L,false,A
1671,유선 마우스 끝판왕,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,10305,0,0,1507|1239,L,false,A
1672,버티컬 마우스 로 게임,39,,2,0,0,0.33,20|30|30|30|30|30|20|20|30|20|58|40,1,8256,0,0,1507|1133|1390|1239|1316|1384,L,false,A
1673,손목보호 마우스 로지텍,46,,,0,0,-0.71,90|30|18|0|30|40|70|60|70|50|70|20,8,8256,0,0,1270|1316,L,false,A
1674,제닉스 버티컬 마우스,576,0.06,91,107.8k,211.7k,-0.2,610|640|760|610|570|440|410|490|630|530|700|500,4,1088,0,24,1270,L,false,A
1675,mx vertical 클리앙,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,2048,0,0,1270|1316,L,false,A
1676,버티컬 마우스 가로 스크롤,3,,,0,0,11,0|0|0|0|0|0|0|0|0|0|0|11,8,10305,0,0,1507,L,false,A
1677,로지텍 리프트 버티컬 마우스,853,0.19,100,85.1k,323.0k,0.12,370|390|510|640|640|550|560|590|740|710|1.0k|830,8,9280,0,0,,L,false,A
1678,로지텍 고급 마우스,0,,,0,0,0,0|0|13|0|0|0|0|0|0|0|0|0,8,8256,0,0,1507,L,false,A
1679,버티컬 추천,14,,,0,0,0,0|11|0|0|11|0|0|0|0|0|42|0,8,8257,0,0,1578|1239|1270|1384|1635,L,false,A
1680,로지텍 아시안핏,5,,,0,0,0.3,19|20|20|0|15|15|16|0|13|0|0|17,8,9280,0,0,1507,L,false,A
1681,버티컬 마우스 새끼손가락,31,,3,0,0,0.5,30|30|50|50|30|20|26|27|20|23|40|30,4,64,0,0,1601|1578|1390|1239|1316|1635|1079,L,false,A
1682,로지텍 블루투스 마우스 종류,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,65,0,0,1507,L,false,A
1683,logitech lift 버티컬 무선 마우스,13,0.17,100,166.0k,364.4k,-0.5,10|10|10|10|10|10|10|10|20|10|20|10,8,1088,0,0,1316,L,false,A
1684,들고 쓰는 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,5,8256,0,0,1390|1239|1384,L,false,A
1685,로지텍 버티컬 디시,33,,38,0,0,-0.25,40|20|30|20|30|40|30|20|40|30|40|30,1,64,0,0,1390|1270|1384,L,false,A
1686,로지텍 신 마우스,36,0.05,37,0,0,10,0|0|0|0|0|0|0|0|0|70|30|10,5,11329,0,0,1507,L,false,A
1687,mx 버티컬 2,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,8257,0,0,1507,L,false,A
1688,버티컬 마우스 스타,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,2113,0,0,1507|1601|1133|1390|1239|1270|1316|1384,L,false,A
1689,로지텍 마우스 단점,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8257,0,0,1507|1390,L,false,A
1690,mx master 3s lift,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8257,0,0,1507|1316,L,false,A
1691,mx vertical vs mx master 3 클리앙,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,0,0,0,1578,L,false,A
1692,버튼 많은 마우스 추천,20,0.25,100,0,0,0,30|10|10|30|20|30|30|20|20|30|10|20,8,10241,0,0,1316,L,false,A
1693,편한 마우스,156,0.12,55,0,0,-0.33,130|110|120|150|160|110|120|150|210|150|180|140,8,9281,0,32,1507|1578|1390|1239|1316|1384,L,false,A
1694,무소음 버티컬 마우스 추천 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,1,0,0,1635,L,false,A
1695,로지텍 mx 버티컬 후기,23,,41,0,0,0,20|10|30|10|20|20|20|20|20|10|40|20,1,8256,0,0,1316,L,false,A
1696,버티컬 마우스 감도,0,,,0,0,0,0|0|0|13|0|0|0|0|0|0|0|0,4,65,0,0,1507|1601|1239|1316|1384,L,false,A
1697,스마텍 디시,33,,0,0,0,1,10|30|10|20|20|10|20|20|20|30|30|40,4,1089,0,0,1133|1390|1239|1384,L,false,A
1698,lift 버티컬 인체공학 마우스,3,,,0,0,0,10|0|0|0|0|10|10|10|0|10|0|0,8,9280,0,0,1316,L,false,A
1699,등 높은 마우스,30,0.13,20,0,0,-0.63,30|54|53|50|66|30|40|44|55|30|40|20,4,2113,0,0,1507|1578|1239|1270|1316|1384,L,false,A
1700,tg 무소음 마우스,3,,100,0,0,10,10|10|10|10|0|10|10|10|0|0|0|10,8,65,0,0,1507,L,false,A
1701,버티컬 마우스 뜻,56,,0,0,0,0.66,19|20|40|40|40|30|40|40|30|30|90|50,4,65,0,0,1507|1601|1390|1239|1270|1316,L,false,A
1702,로지텍 중국 직구,20,,4,0,0,-0.33,0|0|20|54|20|10|30|20|30|20|20|20,4,2113,0,0,1316,L,false,A
1703,제닉스 버티컬 마우스 vm3,86,0.11,100,0,0,0.16,90|100|140|130|110|70|70|60|60|80|110|70,8,8192,0,8,1270,L,false,A
1704,버티컬 마우스 새끼 손가락 통증,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,65,0,0,1507|1601|1390|1270,L,false,A
1705,버티컬 마우스 잡는법,117,,0,0,0,0.67,77|119|130|99|110|75|99|74|81|50|167|136,1,8257,0,0,1133|1390|1239|1316,L,false,A
1706,다이 소 버티컬 마우스 재고,5,,,0,0,0,0|0|0|0|0|0|0|0|0|0|16|0,8,1088,0,0,1507|1601|1390|1316,L,false,A
1707,로지텍 블루투스 마우스 추천,59,0.22,100,79.9k,520.0k,-0.04,70|60|65|70|69|110|60|80|70|40|70|67,8,65,0,0,1507,L,false,A
1708,지르텍 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,64,0,0,1507,L,false,A
1709,버티컬 종류,27,,,0,0,0.08,37|34|50|60|28|24|47|30|35|22|23|38,4,8257,0,64,1239|1270|1316,L,false,A
1710,로지텍 c타입 유선 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,1089,0,0,1507,L,false,A
1711,로지텍 리프트 버티컬 에르고 노믹 마우스,116,0.19,96,199.5k,987.5k,0.66,0|0|0|0|0|0|0|30|60|90|160|100,8,1088,0,96,1316,L,false,A
1712,엑토 버티컬 마우스 후기,16,0.66,52,0,0,0,20|20|10|10|20|10|10|10|20|10|20|20,8,3137,0,0,1578|1390|1384|1635,L,false,A
1713,수직 마우스,303,0.34,81,71.1k,475.1k,-0.13,310|290|320|350|380|310|300|290|300|290|360|260,9,9280,1,0,1507|1133|1390|1239|1270|1316|1384,L,false,A
1714,로지텍 mx 버티컬 로지 볼트,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,8256,0,0,1507,L,false,A
1715,버티컬 게임 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,1088,0,0,1601|1390|1239|1270|1384,L,false,A
1716,버티컬 마우스 추천클리앙,13,,65,0,0,-0.5,40|40|40|40|70|30|50|20|40|10|10|20,1,64,0,0,1507|1239|1384,L,false,A
1717,버티컬 마우스 여성,26,,,0,0,-0.33,19|20|50|170|660|370|230|20|30|20|40|20,8,9281,0,0,1507|1578|1239|1384|1635,L,false,A
1718,제닉스 버티컬 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,1133|1390|1239|1270|1384,L,false,A
1719,mx vertical 무게,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,1089,0,0,1316,L,false,A
1720,손때 안묻는 마우스,10,,0,0,0,0,10|10|10|10|10|10|10|10|10|10|10|10,5,8257,0,0,1507|1239|1270|1316|1384|1635,L,false,A
1721,에볼 루 언트 사이즈,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,1089,0,0,1316,L,false,A
1722,코시 마우스 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,64,0,0,1239|1270|1384,L,false,A
1723,버티컬 마우스 롤디시,13,,29,0,0,-0.66,20|10|10|10|10|20|30|10|30|10|20|10,1,2112,0,0,1133|1390|1239|1270|1384,L,false,A
1724,로지텍 무선 버티컬,10,,,0,0,-0.06,0|16|18|0|0|0|0|0|16|16|0|15,8,1088,0,0,1507|1316,L,false,A
1725,로지텍 버티컬 화이트,0,,,0,0,-1,0|0|0|10|0|0|0|0|11|0|0|0,8,1088,0,0,1507,L,false,A
1726,코시 유선 버티컬 마우스,0,,,0,0,-1,0|0|18|0|0|0|0|0|13|0|0|0,8,1088,0,0,1578,L,false,A
1727,버티컬 마우스 아이리버,123,0.1,100,68.7k,272.2k,-0.3,130|120|140|360|210|110|70|110|130|120|160|90,8,1089,1,20,1507|1316,L,false,A
1728,클릭압 낮은 버티컬 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,5,8257,0,0,1578|1239|1316|1384,L,false,A
1729,evoluent 마우스,22,0.13,98,0,0,-0.03,10|30|30|30|28|26|57|30|30|10|27|29,8,1088,0,0,1316,L,false,A
1730,유선 버티컬 마우스 디시,23,,96,0,0,0,0|0|30|20|20|10|10|30|20|30|20|20,1,1088,0,0,1133,L,false,A
1731,버티컬 유선 마우스,253,0.12,87,63.8k,228.5k,-0.03,180|240|230|250|270|190|170|210|270|240|260|260,8,8257,0,0,1507|1390|1270,L,false,A
1732,손목 안아픈 마우스 추천,3,,,0,0,-1,0|0|0|50|20|0|0|0|15|11|0|0,9,10305,0,0,1507|1239|1270|1316|1384,L,false,A
1733,삼성 전자 버티컬 무선 마우스,23,,,0,0,0,30|30|20|30|40|19|20|30|20|19|30|20,8,1024,0,0,1507|1316,L,false,A
1734,로지텍 lift 배터리,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,1089,0,0,1507,L,false,A
1735,로지텍 무선 마우스 가격,20,0.01,78,0,0,0.5,20|10|20|20|10|20|10|30|20|10|20|30,8,65,0,0,1507,L,false,A
1736,예쁜 버티컬 마우스,23,,,0,0,-0.33,14|20|19|30|20|30|20|20|30|30|20|20,5,8256,0,0,1507|1239|1316,L,false,A
1737,손목 마우스패드 추천,23,,,0,0,-0.36,20|20|40|40|70|30|0|50|30|20|30|19,8,9281,0,0,1270,L,false,A
1738,레이저 버티컬 마우스 후기,16,,38,0,0,20,0|0|0|0|0|0|0|0|0|0|30|20,1,1024,0,0,1507,L,false,A
1739,tg 버티컬,5,,,0,0,-1,0|0|19|18|0|13|0|0|12|0|15|0,8,1089,0,0,1507|1316,L,false,A
1740,버티컬 마우스 수명,4,,,0,0,14,0|0|0|14|0|0|12|0|0|0|0|14,1,1089,0,0,1507|1239|1316,L,false,A
1741,키티 무선 마우스,100,,,0,0,-0.46,60|46|70|80|70|80|80|120|130|90|140|70,8,64,2,16,1316,L,false,A
1742,작은손 버티컬,18,,,0,0,-0.05,19|20|20|14|20|0|0|17|18|17|20|17,9,8256,0,0,1507|1578|1270|1384,L,false,A
1743,로지텍 버티컬 마우스 lift,2343,0.17,100,80.7k,346.8k,-0.22,2.2k|1.9k|2.2k|2.5k|2.3k|1.9k|2.1k|2.0k|2.5k|2.2k|2.8k|2.0k,8,9280,0,8,1316,L,false,A
1744,앤커 버티컬 마우스,203,0.09,68,57.1k,219.5k,0.06,230|200|270|300|250|170|180|150|160|150|290|170,8,2112,0,16,1507|1316,L,false,A
1745,손목터널증후군 마우스패드,43,,75,0,0,0,29|50|70|60|40|40|40|29|40|30|60|40,8,2113,0,0,1270,L,false,A
1746,손목이 편한 마우스,70,0.11,86,125.5k,328.0k,-0.14,40|50|30|40|50|50|40|28|70|60|90|60,9,9283,0,0,1507|1601|1390|1239|1270|1316|1384,L,false,A
1747,지 텍스 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,10,64,0,0,1507,L,false,A
1748,g301 logitech,10,,0,0,0,0,10|10|10|10|10|10|10|10|10|10|10|10,4,3136,0,0,1507,L,false,A
1749,버티컬마우스 마이크로소프트,4,,,0,0,0,0|17|17|0|18|0|15|16|0|0|12|0,8,2113,0,0,1507|1316,L,false,A
1750,로지텍 버티컬 mx,483,0.27,88,66.7k,217.9k,-0.37,340|280|410|380|500|280|310|430|700|430|580|440,8,8256,0,16,1507,L,false,A
1751,로지텍 마우스 mx vertical,19,,,0,0,-0.33,20|20|40|50|40|30|24|30|30|12|27|20,8,1089,0,0,1578|1316,L,false,A
1752,삼보 버티컬,4,,,0,0,-1,14|16|20|13|0|0|0|0|12|0|13|0,8,64,0,0,1507|1316,L,false,A
1753,앱코 wem500 pro 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,64,0,0,1133|1384,L,false,A
1754,로지텍 무선 버티컬 마우스,50,,,0,0,0.5,50|40|40|60|70|40|50|60|40|40|50|60,8,1089,0,24,1316,L,false,A
1755,유그린 버티컬 마우스 디시,40,0.25,52,0,0,-0.57,30|40|50|50|40|40|70|30|70|40|50|30,1,3136,0,0,1390|1270|1384,L,false,A
1756,로지텍 최신 마우스,156,0.37,90,103.0k,689.5k,2.04,50|55|40|50|55|68|60|30|46|160|170|140,8,8259,0,0,1507,L,false,A
1757,로지텍 마우스 인체공학,12,,,0,0,-1,15|30|20|18|30|30|20|29|20|18|20|0,8,3137,0,0,1507|1316,L,false,A
1758,로지텍 mx master 버티컬,6,,,0,0,0,0|0|14|0|0|16|0|0|0|18|0|0,8,64,0,0,1507,L,false,A
1759,vertical 마우스,36,0.03,67,0,0,-0.16,10|50|50|40|50|26|40|30|48|40|30|40,8,3136,0,0,1507|1578|1390|1239|1316,L,false,A
1760,미니 버티컬 마우스,110,,,0,0,-0.16,50|60|50|70|60|50|70|50|120|70|160|100,8,8256,0,0,1507|1270|1316,L,false,A
1761,로지텍 usb 마우스,15,,0,0,0,-0.65,29|25|27|0|27|29|30|29|29|10|26|10,8,1089,0,0,1507,L,false,A
1762,로지텍c타입 무선 마우스,46,0.14,97,40.5k,243.8k,-0.55,50|50|30|40|40|40|50|50|67|40|70|30,8,2113,0,0,1507,L,false,A
1763,anker 마우스 끊김,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,2113,0,0,1507|1316,L,false,A
1764,맥 스틸 버티컬 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,3137,0,0,1390,L,false,A
1765,로지텍 버티컬 리프트,710,0.22,97,80.0k,388.6k,-0.12,1.1k|1.1k|1.3k|1.3k|1.1k|660|750|790|800|630|800|700,8,9280,0,16,1507,L,false,A
1766,회사 마우스 추천,46,0.22,75,0,0,2,0|15|19|0|16|0|0|0|20|40|38|60,8,8257,0,0,1316,L,false,A
1767,디자인 마우스 추천,0,,,0,0,0,0|0|12|0|0|0|0|0|0|0|0|0,4,8257,0,0,1316,L,false,A
1768,m575 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,1390,L,false,A
1769,로지텍 손목 마우스,493,0.19,100,70.9k,321.1k,-0.04,440|430|580|460|550|440|440|450|480|450|570|460,8,2112,0,0,1316,L,false,A
1770,로지텍 버티컬 리프트 후기 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,0,0,0,1133|1384,L,false,A
1771,g401 마우스,10,,7,0,0,10,10|0|10|10|10|10|10|10|0|10|10|10,4,3137,0,0,1507,L,false,A
1772,앤커 버티컬 마우스 후기,10,,45,0,0,0,10|10|10|10|10|10|10|10|10|10|10|10,4,1025,0,0,1507|1390|1316|1384,L,false,A
1773,버티컬 마우스 여자손,13,0.44,69,0,0,-0.5,30|30|20|20|30|10|10|20|20|10|20|10,8,11328,0,0,1507|1578|1239|1384|1635,L,false,A
1774,버티컬 게이밍 마우스 추천,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,10305,0,0,1507|1270|1316|1384,L,false,A
1775,맥 버티컬 마우스,29,0.15,67,0,0,-0.2,10|20|39|36|40|28|10|29|29|26|39|23,8,9281,0,0,1507,L,false,A
1776,세로형 마우스,60,0.04,82,0,0,0.25,70|50|90|60|70|50|59|50|40|70|60|50,9,8256,0,0,1507|1578|1390|1239|1316|1384,L,false,A
1777,버티컬 마우스 클리앙,16,,73,0,0,1,10|10|20|10|20|10|10|10|10|10|20|20,1,64,0,0,1507|1316,L,false,A
1778,로지텍 mx vertical 후기,10,,29,0,0,0,10|10|10|10|10|10|10|10|10|10|10|10,1,0,0,0,1316,L,false,A
1779,옆 으로 잡는 마우스,28,0.31,45,0,0,0.23,20|10|37|38|30|23|23|10|30|10|37|37,4,8257,0,0,1507|1601|1578|1390|1239|1316|1384,L,false,A
1780,삼성 마우스 후기,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,1025,0,0,1079,L,false,A
1781,seenda 마우스 후기,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,1121,0,0,1507|1601|1270|1316|1384,L,false,A
1782,버티컬 마우스 가성비 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,1133|1390|1239|1384,L,false,A
1783,버티컬 마우스 화이트,11,,,0,0,-0.43,19|20|18|19|0|0|20|19|30|0|18|17,4,1089,0,0,1316,L,false,A
1784,지클릭커 마우스 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,1239,L,false,A
1785,anker 마우스,196,0.2,74,74.4k,224.8k,0.05,200|170|210|360|220|130|170|160|200|160|220|210,8,64,0,0,1507|1316|1384,L,false,A
1786,게임용 버티컬 마우스 추천 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,65,0,0,1390|1239,L,false,A
1787,버티컬 마우스 엄지 통증,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,65,0,0,1390|1239|1316,L,false,A
1788,버티컬 마우스 위치,10,,0,0,0,0,10|10|10|10|10|10|0|0|10|10|10|10,5,8257,0,0,1507|1601|1390|1239|1316|1384,L,false,A
1789,엄지 휠 마우스,6,,,0,0,-1,14|14|16|19|16|0|16|13|13|0|18|0,8,8256,0,0,1507|1239|1316,L,false,A
1790,여자 버티컬 마우스 추천 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,2113,0,0,1133|1239|1270|1635,L,false,A
1791,아이리버 마우스 디시,56,,39,0,0,0,0|0|0|20|30|30|50|50|50|50|70|50,4,1088,0,0,1384,L,false,A
1792,에볼루언트,156,0.79,20,0,0,-0.41,150|130|210|240|130|150|130|80|170|160|210|100,8,8256,0,0,1507|1316,L,false,A
1793,스타맥스 마우스,18,,,0,0,0,0|18|20|0|17|0|16|0|20|16|18|20,8,3136,0,0,1316,L,false,A
1794,디자이너 버티컬 마우스 추천,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8256,0,0,1507,L,false,A
1795,핫트랙 스 마우스,9,,,0,0,-1,11|0|0|16|0|15|14|0|16|13|14|0,1,1088,0,0,1270,L,false,A
1796,마이크로소프트 마우스 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,0,0,0,1239|1384,L,false,A
1797,여자 게이밍 마우스,36,0.08,64,0,0,-0.5,20|50|50|50|40|38|37|32|40|38|50|20,4,1089,0,0,1507|1635,L,false,A
1798,lift 인체공학 버티컬 마우스,10,,0,0,0,0,0|0|10|0|0|10|0|10|10|10|10|10,8,9280,0,0,1316,L,false,A
1799,로지텍 버티컬 마우스 mx,850,0.18,99,70.3k,395.7k,0.22,930|810|980|1.1k|860|680|760|640|750|720|910|920,8,9216,0,8,1316,L,false,A
1800,로지텍 lift 버티컬 마우스 단점,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,65,0,0,1507|1390|1316,L,false,A
1801,버티컬 마우스로 롤,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,2113,0,0,1601,L,false,A
1802,tg삼보 버티컬 마우스,83,0.16,94,101.6k,284.1k,-0.14,100|100|120|170|130|70|110|90|70|80|110|60,8,65,0,0,1507|1316,L,false,A
1803,한성 버티컬 마우스 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,3136,0,0,1133|1390|1270|1384,L,false,A
1804,게이밍 버티컬 마우스,526,0.11,90,68.1k,425.7k,0.18,370|390|410|440|440|400|320|410|440|430|630|520,4,8256,1,16,1507|1390|1384,L,false,A
1805,mx vertical 게임,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,2049,0,0,1133|1270,L,false,A
1806,mx 마스터 버티컬,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,64,0,0,1507|1316,L,false,A
1807,버티컬 마우스 각도,60,,16,0,0,0,50|49|60|70|70|40|60|50|50|60|70|50,5,65,0,0,1507|1601|1390|1239|1316|1384,L,false,A
1808,손목 안아픈 마우스 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,0,0,0,1239,L,false,A
1809,버티컬 마우스 게임 추천,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,10305,0,0,1133|1239|1270|1384,L,false,A
1810,다이 소 저소음 버티컬 마우스,190,0.23,44,0,0,100,0|0|0|0|0|0|0|0|0|0|470|100,8,9280,0,0,1507|1350|1270|1316,L,false,A
1811,편한 마우스 추천,13,0.28,82,0,0,0,20|10|10|20|10|10|20|10|10|10|20|10,8,8257,0,0,1507|1316|1384|1635,L,false,A
1812,버티컬 마우스 끝판왕 디시,13,0.14,88,0,0,-0.5,0|0|20|10|10|10|20|10|20|10|20|10,1,2048,0,0,1133|1390|1239|1384,L,false,A
1813,seenda 버티컬 마우스 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,1270|1384,L,false,A
1814,로지텍 버티컬 lift 마우스 mr0094,0,,,0,0,0,30|0|19|15|30|20|20|20|0|0|0|0,8,1088,0,0,1316,L,false,A
1815,손목터널증후군 버티컬마우스,3,,,0,0,0,0|0|0|0|0|0|0|0|0|11|0|0,9,9281,0,0,1507|1601|1390|1239|1316,L,false,A
1816,로지텍 버티컬 게임,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,64,0,0,1133|1270,L,false,A
1817,버티컬 마우스 #손목,113,0.05,31,0,0,0,110|140|170|140|110|140|140|110|110|90|140|110,5,8256,0,0,1507|1601|1390|1239|1270|1316,L,false,A
1818,mx vertical 단점,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,65,0,0,1390|1316,L,false,A
1819,로지텍 버티컬 마우스 드라이버,47,,0,0,0,0.01,81|50|70|61|40|40|63|61|51|40|50|52,8,64,0,0,,L,false,A
